,zip,num_tracts,percent_ej
282,1463,3,0.0
283,1464,1,0.0
284,1467,1,0.0
285,1468,1,0.0
286,1469,2,0.0
287,1473,1,0.0
288,1474,2,0.0
289,1475,2,0.0
290,1501,5,0.0
291,1503,1,0.0
292,1504,2,0.0
293,1505,1,0.0
294,1506,1,0.0
295,1507,2,0.0
296,1510,3,0.0
297,1515,1,0.0
298,1516,2,0.0
299,1518,2,0.0
300,1519,3,0.0
301,1520,4,0.0
302,1521,1,0.0
303,1522,3,0.0
304,1523,1,0.0
305,1524,2,0.0
306,1525,1,0.0
307,1527,4,0.0
308,1529,1,0.0
309,1531,1,0.0
310,1532,3,0.0
311,1534,3,0.0
312,1535,1,0.0
313,1536,4,0.0
314,1537,1,0.0
315,1540,2,0.0
316,1541,1,0.0
317,1542,3,0.0
318,1543,1,0.0
319,1545,6,0.0
320,1550,5,60.0
321,1560,1,0.0
322,1561,1,0.0
323,1562,2,0.0
324,1564,1,0.0
325,1566,2,0.0
326,1568,1,0.0
327,1569,3,0.0
328,1570,4,50.0
329,1571,2,0.0
330,1581,5,0.0
331,1583,3,0.0
332,1585,2,0.0
333,1588,5,0.0
334,1590,2,0.0
335,1602,11,27.272727272727273
336,1603,9,44.44444444444444
337,1604,15,46.666666666666664
338,1605,9,66.66666666666667
339,1606,8,37.5
340,1607,8,37.5
341,1608,5,100.0
342,1609,9,44.44444444444444
343,1610,13,76.92307692307692
344,1611,1,0.0
345,1612,2,0.0
346,1701,8,0.0
347,1702,9,44.44444444444444
348,1718,1,0.0
349,1719,1,0.0
350,1720,5,0.0
351,1721,3,0.0
352,1730,4,0.0
353,1731,2,0.0
354,1740,1,0.0
355,1741,1,0.0
356,1742,4,0.0
357,1745,1,0.0
358,1746,3,0.0
359,1747,1,0.0
360,1748,3,0.0
361,1749,4,0.0
362,1752,6,16.666666666666668
363,1754,2,0.0
364,1756,2,0.0
365,1757,6,33.333333333333336
366,1760,7,0.0
367,1770,1,0.0
368,1772,2,0.0
369,1773,2,0.0
370,1775,2,0.0
371,1776,4,0.0
372,1778,5,0.0
373,1801,8,0.0
374,1803,4,0.0
375,1810,7,0.0
376,1821,7,0.0
377,1824,6,0.0
378,1826,5,0.0
379,1827,1,0.0
380,1830,8,25.0
381,1832,6,33.333333333333336
382,1833,2,0.0
383,1834,1,0.0
